file,family,category,odrl_term
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL343-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL343-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL343-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL343-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL344-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL344-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL344-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL344-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL345-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL345-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL345-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL345-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL346-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL346-policy.ttl,spatial,Policies,gteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL346-policy.ttl,spatial,Policies,lteq
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL346-policy.ttl,spatial,Policies,use
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL347-policy.ttl,spatial,Policies,and
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL347-policy.ttl,spatial,Policies,gt
/home/mustafa/projects/ODRL-Axis-Aligned-Profile-OAAP/Problems/ODRL/AxisDecomposition/Policies/ODRL347-policy.ttl,spatial,Policies,lt
